Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2020-01-01,1986.125244140625,2001.0604038130248,1973.6637678253849,1986.491666037806,1354908
2020-01-02,1977.0086669921875,1997.4417269430453,1969.2661566413142,1997.4417269430453,2380752
2020-01-03,2016.408203125,2036.8871171979335,1982.826685387462,1982.826685387462,4655761
2020-01-06,2016.224853515625,2039.5899537930784,2004.7255143251905,2020.3939651680348,3023209
2020-01-07,2021.1728515625,2029.235922735072,2000.9688675681268,2016.2706725125681,2429317
2020-01-08,2066.437255859375,2070.789579089763,2017.6912804191966,2020.3942574747464,5197454
2020-01-09,2028.9610595703125,2063.412991407784,2024.9751592561745,2060.480945419603,3734173
2020-01-10,2028.228515625,2046.966368031768,2023.1431247153732,2041.4686964972154,1915807
2020-01-13,2006.9705810546875,2033.1760103555794,2001.7934736210748,2032.1682382867714,2843893
2020-01-14,2022.1353759765625,2043.1182924522582,2011.2317489138181,2011.2317489138181,2948452
2020-01-15,2040.4603271484375,2044.2171581565162,2010.4980675086226,2027.7241465712104,2620681
2020-01-16,2051.3642578125,2060.7102533498723,2029.5567857581002,2040.5062685979906,3117214
2020-01-17,2033.313720703125,2064.8794704722804,2027.7243323401653,2053.151060863636,3281059
2020-01-20,1988.6453857421875,2054.4798701483664,1975.6799090920763,2011.13984682724,5817599
2020-01-21,1989.28662109375,2003.488938835617,1977.3749997618615,1988.2786251930308,1902980
2020-01-22,2022.1353759765625,2024.9759294303135,1991.7149678402238,1998.4038470984224,1773686
2020-01-23,2012.0791015625,2036.6911736635,2005.4209971733396,2029.3902626578351,2069866
2020-01-24,2005.1453857421875,2012.0790425375333,1992.8394621570833,2012.0790425375333,1319430
2020-01-27,1992.1507568359375,2014.375005328478,1988.2477301140048,2010.9311582208902,1549101
2020-01-28,2005.467041015625,2009.1864408733509,1976.309134408987,1996.5130381994134,1743024
2020-01-29,1978.6968994140625,2008.4056861710558,1974.4723572452745,2006.6149305027557,2306761
2020-01-30,1963.314453125,1988.2478175974925,1951.5134468335664,1983.6560212520017,2098567
2020-01-31,1909.314697265625,1969.2835965376642,1902.4729662190875,1964.7375392314348,3287223
2020-02-03,1930.8504638671875,2015.5231480473285,1922.3096773778782,1976.309250055737,4728073
2020-02-04,1935.6715087890625,1962.2579614823294,1916.2483023459513,1955.1866408311773,3509339
2020-02-05,1971.3040771484375,1980.625333777798,1932.5033991465475,1942.3297982011243,2439322
2020-02-06,1954.5904541015625,1996.6971009837098,1942.7894453103688,1969.8810494874692,2640065
2020-02-07,1962.12060546875,1975.3908524998944,1946.0033549266743,1964.3705409099368,2083442
2020-02-10,1985.4466552734375,1990.0844141398413,1946.0031719253916,1966.1151490022173,2383032
2020-02-11,1977.5950927734375,1997.248118960571,1972.268787484503,1986.4114329220938,1335820
2020-02-12,1993.528076171875,2006.614693739743,1974.4721242748044,1975.4824089986396,1620407
2020-02-13,2012.997802734375,2017.6355624557054,1993.7582185213182,1995.5489744746305,1645948
2020-02-14,2005.879638671875,2031.4100631499552,1993.7573449812626,2009.369447636574,1500115
2020-02-17,2023.374755859375,2036.0021939136432,2011.3901243552061,2017.5890484909378,1774724
